P_A.std	day	P_A.lag	N_A.lag	steps.pm	steps.pmd	record_id	N_A.std
1.747408764	2	0.747859688	0.253993562	0.955170998	0.599557829	1	-0.733579748
-0.231093845	3	1.467415589	-0.853633863	0.955170998	-0.394716757	1	0.538565586
0.341559499	4	-0.377264085	0.961445916	0.955170998	-1.519358661	1	0.601616162
0.456648273	5	0.128605518	-0.196203391	0.955170998	-1.344233525	1	0.278072494
-0.23484069	6	0.329208982	-0.160473475	0.955170998	0.417596954	1	0.546746411
1.127853437	7	1.410723306	-0.903655746	0.955170998	-0.323104248	1	0.056607006
1.112726292	8	0.769664412	-0.775028045	0.955170998	0.376419761	1	-0.08417053
0.55245938	9	0.730415908	-0.310539126	0.955170998	0.317664953	1	0.104589937
1.523717461	10	1.044403938	-0.682130261	0.955170998	-0.445984803	1	-0.485576289
1.549777017	11	0.651918901	-0.767882062	0.955170998	-0.958990778	1	-0.038196642
-0.657670435	12	-1.301784395	0.375475279	0.955170998	-1.209797315	1	0.240241948
-0.548273667	13	-1.498026913	0.611292731	0.955170998	0.911560511	1	-0.574165628
1.944339756	14	0.987711655	-0.860779846	0.955170998	0.27420918	1	-0.432472594
-0.029544999	15	-0.734861563	0.618438714	0.955170998	0.853619481	1	0.207241991
0.022071173	16	1.000794489	-0.482042727	0.955170998	0.183228742	1	-0.103223792
0.754479947	17	1.406362361	-0.146181508	0.955170998	-1.051761528	1	-0.05660929
0.244581008	18	0.896131813	-0.00326184	0.955170998	-1.393060236	1	0.413242633
-0.523368102	19	-1.371559512	0.861402149	0.955170998	-1.68943837	1	0.155883724
-0.771985792	20	-0.852607074	0.775650348	0.955170998	0.706000059	1	-0.553225715
1.11121354	21	1.541551651	-0.181911425	0.955170998	0.386022348	1	-0.215216516
0.74063423	24	0.612670397	-0.410582893	0.955170998	0.579864389	1	-1.092981441
-0.290897554	25	0.608309452	-0.260517242	0.955170998	-0.996912856	1	0.342714241
-1.539711296	26	-0.181021567	0.604146747	0.955170998	-1.06038758	1	1.409642297
0.386612557	27	1.11854	-0.417728876	0.955170998	0.55219592	1	-0.47868095
0.932124022	28	0.747859688	-0.038991757	0.955170998	0.279580118	1	-1.047155077
0.626933806	29	1.292977795	0.175387744	0.955170998	0.204549739	1	1.908907823
-0.221771539	30	0.708611184	0.053906027	0.955170998	1.15585682	1	0.037145315
-0.935895523	33	-0.826441405	0.203971678	0.955170998	-0.819020874	1	0.73582425
0.903424904	34	0.329208982	0.711336498	0.955170998	1.115493406	1	1.089530954
1.651453344	35	1.166510394	-0.42487486	0.955170998	0.140261237	1	0.80015859
